id;name;file;file_content_type;reader_url
1;mobile Fish;../fake-data/blob/hipster.png;image/png;Home Loan Account Table Computer
2;Trace;../fake-data/blob/hipster.png;image/png;Savings Account alarm
3;Tasty Metal Bacon;../fake-data/blob/hipster.png;image/png;red Chips Soap
4;Home Loan Account;../fake-data/blob/hipster.png;image/png;web-readiness
5;Namibia;../fake-data/blob/hipster.png;image/png;Steel zero administration
6;Multi-channelled Licensed;../fake-data/blob/hipster.png;image/png;grey Cambridgeshire
7;Canyon HDD;../fake-data/blob/hipster.png;image/png;Table Small Frozen Sausages Planner
8;envisioneer Music Public-key;../fake-data/blob/hipster.png;image/png;infomediaries
9;Investment Account;../fake-data/blob/hipster.png;image/png;Games Regional Digitized
10;copy convergence;../fake-data/blob/hipster.png;image/png;Mayotte
